,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-12-09 08:00:00,-59669.598840860934,-2536.1962824670118,-201404.21250623275,-12084.082999572633,-85015.73128064084,-18977.012519937838,-5572.504376360354,-74569.68866825358,-30940.87811171014,-5807.667294810037,-14899.231716281936,-10879.03916442581,-11919.146352636555,-4884.909742445139,-797.5047491226741,-2274.7944571664084,-721.1695086593852,-183.30885114451036,-161.2168708697832,-818.5141349565334
2015-12-09 09:00:00,-12545.136545143156,-646.7193363220474,-66673.97064300283,-3208.6222752080043,-24791.29352068115,-4633.140289515859,-1558.983121769534,-26542.68586462768,-9921.481322777028,-2375.3908486617715,-4446.640755051931,-1123.0963357644991,-2068.7082321488624,-578.0406710462806,-198.57769182898127,-289.76727425032936,-0.0,-0.0,-0.0,-52.32832938319731
2015-12-09 10:00:00,-7702.188443911221,-504.2451607886143,-54242.62303544761,-2844.9731637667874,-20797.461618378806,-2934.9277326503707,-852.5774734333884,-19362.03483774186,-6684.569365758978,-2028.854815612829,-3247.2434779061164,-274.84420906060086,-1161.4003361537139,-37.96025192344213,-85.77527728813497,-26.21992902249673,-0.0,-0.0,-0.0,-15.127074581845056
2015-12-09 11:00:00,-5520.733820482234,-433.38943845138095,-43888.2281640685,-2915.68015381944,-19541.607667659195,-1819.9051017327015,-390.7029216805945,-11288.53000313463,-5220.079980899452,-1180.6033535364863,-2677.1861249280055,-110.10699966431794,-831.5600583054776,-0.0,-51.50505421975161,-0.0,-0.0,-0.0,-0.0,-0.0
2015-12-09 12:00:00,-3715.504831461432,-341.1370393610719,-35527.28963044538,-3164.7054488121053,-19834.941154178137,-1396.6144147696043,-220.09951322132727,-9454.391098961703,-4919.280503563137,-960.8208166117978,-2757.3813705028087,-70.90230474511009,-862.5059176140766,-0.0,-62.76701059316491,-0.0,-0.0,-0.0,-0.0,-0.0
2015-12-09 13:00:00,-3080.496299931718,-325.02198368609425,-32656.53292699961,-3393.356911181196,-22467.035498692825,-2018.8130177318212,-230.26222717040085,-10656.280072784075,-4388.157504879883,-2139.3144612238125,-3345.2753134050067,-516.3176558490843,-1210.4898525243357,-137.27126440387434,-117.09977638274106,-30.62318968596804,-0.0,-0.0,-0.0,-0.0
2015-12-09 14:00:00,-10218.621294969735,-812.5557262406894,-71503.82285296229,-3750.3712024860056,-61793.4975047465,-5003.88141219612,-1160.2395050348505,-31033.37131544455,-13867.338597905127,-4151.486556892114,-9650.673965220962,-2724.443662552866,-3131.3371052307393,-1539.2270301377055,-576.7947531626613,-291.0854065316826,-88.22437421782966,-0.7455156369590743,-0.0,-0.0
2015-12-09 15:00:00,-27496.54792052171,-1705.5343969624132,-164934.56714454282,-12708.079509229849,-79311.34268509934,-16525.108259540175,-3472.0607445994465,-61143.42068148329,-23887.999997725503,-9242.801532034895,-14829.619333610935,-10374.79004188683,-10610.006289819792,-3369.2880328010947,-944.3497629122298,-2833.2775470357155,-839.7180916244565,-311.6888722543868,-0.0,-98.41729457327085
2015-12-09 16:00:00,-52218.59941408786,-2755.235888238019,-330582.0297622643,-18933.844587575546,-128416.9410700116,-30374.736617729224,-9070.224129234157,-119796.12208888633,-47598.785154032485,-23185.14921933413,-25735.57728388466,-25066.223459805267,-18049.581194436858,-6008.7800552352965,-2360.5861216463163,-9319.28988090631,-1144.2053191294456,-521.0212597649422,-295.8369456542235,-449.50327768675743
2015-12-09 17:00:00,-93411.08629386521,-4807.262419040922,-396398.8566449329,-23068.24422992369,-180791.9721419665,-33749.41786897456,-11650.99406721132,-148571.07412571105,-69839.21192067133,-20928.644889163566,-33646.694345927564,-37193.32228010117,-25656.57335656837,-10826.027747683936,-2394.067717066213,-10013.444282721177,-2430.971180509116,-1102.6688539519305,-1178.53703788409,-1275.3238675478005
2015-12-09 18:00:00,-86569.71138422021,-4345.821758339776,-374781.02680734644,-21270.623240444293,-154679.23262454124,-31686.35639739088,-11789.09687862332,-138827.56556624937,-64966.57979719135,-22506.154645592433,-30870.20520300001,-40872.97488276248,-24041.49974784262,-10034.665339260742,-2367.6131986680766,-10187.963688503558,-2329.233903216973,-1064.504928875958,-1875.5278914259509,-1222.7362224738606
2015-12-09 19:00:00,-89837.36049964259,-4388.490330779921,-382569.5416345828,-21595.374769169695,-154790.10715444616,-32242.425723901102,-12231.672346497295,-140214.35771279616,-66965.18572244949,-23395.95640072351,-31225.743348341406,-46152.702272659124,-24957.235769084513,-10939.669512237877,-2433.9813809402463,-10547.471565101603,-2467.3184764624025,-1123.790465604573,-2452.9778796791734,-1299.3358017215073
