,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-02-04 01:00:00,-11142.01668657357,0.0,-18732.98908450432,0.0,-6460.288849691578,-2706.057068963264,-2978.0198540478914,-6372.953730488459,-4705.906960434106,-655.7931429003524,-399.36607635315266,-9721.349893355642,-2346.6405992610407,-7980.01630664437,-314.00493466228676,-7488.365132006258,-935.0082463121573,-1531.1328815411448,-4361.932129694239,-11725.89107541144
2015-02-04 02:00:00,-15252.212388023021,0.0,-14830.30461288296,0.0,-5022.744410581507,-856.825089954994,-6212.579223480581,-5617.514586649916,-6944.448784664397,0.0,-461.96727919767267,-13330.730251986157,-214.2160071091553,-9458.13147200185,0.0,-4115.671386222239,0.0,-5666.96218991739,-8157.184768571017,-13102.300826021112
2015-02-04 03:00:00,-12094.737011010671,0.0,-32103.552854378984,-1286.6351961306425,-4643.823164643998,-2773.1885068434194,-2928.168635764917,-5346.957191945093,-6020.363429298682,-1673.7543729577153,-1215.222068743433,-28892.428331726824,-527.8631950329542,-11656.76374184243,-884.8419955611458,-6300.730554170412,-19773.069986008017,-1868.6293928248126,-10737.280148866472,-7873.306252768512
2015-02-04 04:00:00,-44318.169681268715,0.0,-107996.69293826989,0.0,-28668.67720437401,-21246.501290635155,-14360.455864634636,-30052.551381867954,-36468.32548323268,-6987.956857296854,-7310.589963395865,-75041.51315209878,-7925.406167020954,-62416.85383147998,0.0,-51036.80921630424,-4038.045951650773,-15048.353614099042,-54672.1441904484,-22774.605831056655
2015-02-04 05:00:00,-221465.32148525043,0.0,-272738.30215987854,0.0,-98282.00509022956,-30481.595240202652,-48305.340550228255,-50687.247700389846,-51304.71560290452,-8288.782270874333,-14210.508905370809,-183546.39011020408,-15130.195979232234,-111794.92642482182,0.0,-64285.44631960971,-12363.096626630972,-46331.247986567614,-74954.4429214492,-134424.2152438184
2015-02-04 06:00:00,-290291.9197007241,0.0,-535694.8131387153,-13709.986813636104,-105003.56332723612,-31294.71176828448,-62678.253649759936,-115244.16100878845,-134351.42810039147,-36463.3743244322,-19004.717491118536,-260742.8700969339,-16030.299600031292,-112601.45078492389,-3475.932906813566,-116632.49953671884,-21168.258737411026,-72764.44631346253,-212282.37774827276,-147155.10383657407
2015-02-04 07:00:00,-392897.0235418452,-15633.144543048058,-482904.03201121476,0.0,-125875.61360654897,-20717.13320019413,-90029.30965079706,-184298.7304393182,-126936.64203717212,-43493.558323027755,-32634.974933585614,-308105.8717914509,-32403.782154946042,-187476.43312484396,-4456.297522381426,-115302.0828374598,-22049.106750145358,-94165.10049511297,-188763.85639504183,-147802.4086727981
2015-02-04 08:00:00,-368443.2932696542,0.0,-360378.5105882158,-7933.184741711273,-119905.83339914649,-42103.316573333876,-77450.24680035461,-111618.90327061694,-94791.48493246885,-26081.290366828147,-14718.471859324534,-226770.62129274086,-25470.779626991316,-146491.4476549152,-4209.951910771896,-94489.56367128885,-11409.631355191532,-52280.78497797097,-146694.8889751482,-195372.4604322479
2015-02-04 09:00:00,-143291.10752900768,0.0,-240227.73795479015,0.0,-56634.417757853334,-12321.413089667321,-54105.27124761824,-58866.76241962747,-84869.54321078566,-11244.729492280647,-8529.518468691887,-154118.69329429968,-6978.787351646808,-98684.91871212723,-4649.436228607353,-73729.09763243698,-21165.79851686127,-27498.788732215013,-87840.37309482032,-113505.60372479164
2015-02-04 10:00:00,-129240.75545815601,0.0,-162652.01345575534,0.0,-33313.40039852113,-20118.499247811742,-16151.78140431319,-28242.37193092074,-28558.897254922253,-11857.312652105278,-5345.552578302433,-97426.62511474815,-9490.452544135613,-57560.1006721996,0.0,-31643.28175619345,-377.7592751034272,-43493.56715701639,-65022.16645821037,-85563.88851115527
2015-02-04 11:00:00,-57766.08440487529,0.0,-157126.1488958732,0.0,-12852.134671268605,-13947.719622794248,-24607.68239709532,-30528.14956034924,-27276.78117997681,-2330.432604652566,-3079.954185714788,-94569.12735937974,-13733.366024908608,-35986.80193879045,0.0,-31276.971405166016,-4408.5232892106515,-24856.39307954973,-36312.64199775731,-47712.57141715685
2015-02-04 12:00:00,-51426.00011469997,0.0,-86086.84411658395,0.0,-21739.589797376586,-12086.613254479596,-15985.968421545038,-19341.77146355278,-18051.28339485012,-1795.5302129220486,-2877.888426445533,-39766.19229740498,-3758.9082097380106,-37163.48389828404,0.0,-18875.546853584183,-5056.436400428286,-7896.000356606169,-25269.89071778523,-72037.20785100546
2015-02-04 13:00:00,-78593.92107554142,0.0,-76781.78951747222,-1392.5169719355436,-31860.615142326762,-13395.9954113218,-10533.142361049791,-29872.315029200967,-26931.35708236873,-5690.633434908141,-5629.452670060921,-60255.77446297,-2929.549429290366,-24414.671452757746,-2676.3841381323723,-26273.27010046876,-1914.3180449474514,-14696.550955443567,-26641.033439299732,-30656.844771356045
2015-02-04 14:00:00,-78089.8006956858,0.0,-153703.9987199226,-2785.0139438710908,-29945.604602017444,-3659.004624399822,-7756.280250654202,-34116.28168209295,-44336.68266856209,-6361.860083314188,-5412.950768429884,-76962.11070006552,-13747.478572912692,-51616.11174293176,0.0,-53861.9507457742,-1196.7497359805109,-3644.886757383789,-26641.199189726838,-62375.480622368515
