,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-02-23 11:00:00,-623155.290270388,-61140.29868243089,-966786.0241470727,-212231.25909619988,-278063.29598715855,-203659.36943894284,-159401.17562145047,-402320.993357851,-336888.490341056,-58291.36628042106,-215087.7148676164,-147275.67639470656,-99085.74583845548,-198208.36699056902,-12559.21877172136,-122750.82735649864,-27187.19178142343,-80389.12639203668,-406252.80389967613,-30497.868025566466
2015-02-23 12:00:00,-604626.6938914168,-57878.24263980016,-942764.9861124004,-186335.68609953584,-254833.20402782448,-200737.8792582485,-150497.63292962726,-376770.6665030297,-320170.9355003384,-50364.15391399918,-203794.23763545085,-125097.15020957544,-81329.45406188752,-177979.75970804863,-11070.995542841752,-115867.43852125958,-26194.39952700344,-72964.06990263879,-403317.2358636863,-22507.10393111903
2015-02-23 13:00:00,-640590.439005046,-58445.46966028114,-1221994.9869932474,-189295.81085503424,-259862.79661675365,-223687.70368830528,-171655.6796689399,-394505.3062711562,-334911.3003637376,-56052.900467845946,-203406.2825784083,-160416.75239378843,-78539.20634712205,-217130.08138921612,-11480.479874414536,-121432.88609758805,-28569.994616672866,-77015.38412389404,-423026.27558231266,-20162.46830380973
2015-02-23 14:00:00,-1209024.6698870668,-100238.13128834692,-2540547.360635765,-481125.5745892738,-397869.70167870895,-419104.49643995916,-396157.0011617406,-792594.0979476514,-817179.7225866448,-170378.32813566623,-430525.6231646771,-505744.03482426493,-167111.05854191352,-403775.64610266045,-26902.01649949738,-328258.09823824256,-40881.21282471545,-191678.05316668804,-775919.896897468,-51156.662674327396
2015-02-23 15:00:00,-2109925.553643705,-99220.95696728386,-4582448.811529329,-651502.9931636915,-1084510.6581878355,-592292.0963486496,-690933.815060179,-1418822.8598033115,-1151961.2607811834,-216367.58273071653,-615309.3573099071,-935222.324795347,-313494.42031355464,-1085792.2465244306,-50664.92294140199,-534466.951535389,-127812.17334608773,-338989.725335293,-1353216.7449056597,-100620.908802635
2015-02-23 16:00:00,-3379570.6122864103,-151319.29853439468,-7888361.5293250345,-1263162.989339959,-2199519.465907433,-1101118.1641178902,-1268219.6880821546,-2475298.9492237894,-2233183.812702986,-422101.50901159435,-1161699.1352360279,-2487543.7930164486,-639139.1157897472,-2482981.532901497,-92551.22809136283,-1373171.3737476962,-184101.74159185812,-860522.5019299253,-2273430.2723748074,-296187.5001678692
2015-02-23 17:00:00,-5044547.266902274,-209415.84748390634,-9851946.916536495,-1212650.1537163858,-2967344.961992081,-1098820.0517026666,-1794781.4693487703,-3711812.912821672,-3115686.903299984,-628051.3888124817,-1379885.6268529473,-3587528.287433758,-858569.0346814209,-3169343.413985895,-151436.04399471523,-1647616.1636085494,-355217.1032127484,-845308.4059539111,-3125915.337157882,-435329.94001389435
2015-02-23 18:00:00,-4557044.520129118,-197626.08203387065,-9227971.594858045,-1184186.4335057249,-2705677.064159837,-1033652.319797667,-1656673.8833700211,-3362910.9230960677,-2847364.627420393,-564897.7243585633,-1262356.3779745526,-3515412.192861642,-777958.2898903068,-3070193.932648039,-136479.76772320783,-1620692.4784512178,-311852.42607762216,-829107.7802246643,-2758857.352733465,-407521.6074398109
2015-02-23 19:00:00,-4619446.97303416,-200472.9938967588,-9526581.578821305,-1191764.2457334334,-2726857.764578586,-1038215.77371197,-1686862.7793678383,-3488655.478590808,-2926086.133327053,-559428.5553076089,-1266185.28938359,-3596406.3616849133,-793400.1186236223,-3124585.910296197,-142247.4820846812,-1710616.4192486375,-325599.14873304544,-844241.428791653,-2789682.2369052516,-390742.7220261494
2015-02-23 20:00:00,-4668255.610734639,-200728.6611613084,-9781922.61198642,-1189659.6429844275,-2736627.8108060216,-1044032.4854703859,-1697940.8925689664,-3569175.9663072745,-2979921.668104576,-559881.9856912035,-1259433.0625372045,-3585003.380205793,-810106.9915479745,-3139108.705529388,-148769.31711432288,-1799276.6158024413,-336420.9748800149,-862297.9986834812,-2819222.09428931,-381648.29331063887
